date_time_local,unixtime,pressure_station,pressure_sea,wind_dir,wind_dir_10s,wind_speed,wind_gust,relative_humidity,dew_point,temperature,windchill,humidex,visibility,health_index,cloud_cover_4,cloud_cover_8,cloud_cover_10,solar_radiation,max_air_temp_pst1hr,min_air_temp_pst1hr
"2024-11-04 19:00:00 MST",1730772000,95.76,100.33,ESE,11,5,,97,-3.5,-3.1,-5,,16100,,4,,,,-2.5,-3.6
"2024-11-04 18:00:00 MST",1730768400,95.74,100.3,E,8,5,,93,-3.5,-2.5,-4,,16100,1.6,4,,,,-1.3,-2.7
"2024-11-04 17:00:00 MST",1730764800,95.71,100.27,E,8,9,,93,-2.4,-1.4,-5,,16100,1.7,4,,,,0.9,-1.6
"2024-11-04 16:00:00 MST",1730761200,95.69,100.23,ESE,11,4,,83,-1.7,0.9,,,16100,1.6,4,,,,1.3,0.9
"2024-11-04 15:00:00 MST",1730757600,95.68,100.21,ENE,7,8,,79,-2,1.2,,,16100,1.5,4,,,,1.3,0.7
"2024-11-04 14:00:00 MST",1730754000,95.69,100.23,ENE,6,5,,81,-2.2,0.7,,,16100,1.4,4,,,,0.7,-0.7
"2024-11-04 13:00:00 MST",1730750400,95.75,100.29,N,35,4,,86,-2.8,-0.7,-2,,16100,1.4,4,,,,-0.6,-2.4
"2024-11-04 12:00:00 MST",1730746800,95.81,100.36,NE,4,5,,95,-3.1,-2.4,-4,,16100,1.3,4,,,,-2.4,-3.9
"2024-11-04 11:00:00 MST",1730743200,95.84,100.39,N,1,4,,95,-4.6,-3.9,-6,,16100,1.4,4,,,,-2.5,-4
"2024-11-04 10:00:00 MST",1730739600,95.88,100.43,S,19,8,,95,-4.7,-4,-7,,16100,1.5,4,,,,-4,-6.4
"2024-11-04 09:00:00 MST",1730736000,95.94,100.51,N,36,0,,93,-7.5,-6.5,,,14500,1.4,4,,,,-5.8,-7.1
"2024-11-04 08:00:00 MST",1730732400,95.97,100.53,WSW,24,5,,94,-6.5,-5.7,-8,,16100,1.3,4,,,,-5.7,-7.3
